cand_id,tipo,verificacao,chave,ano
C-B1-001,journal_article,DEDUPED,,2026
C-B1-002,preprint,DEDUPED,,2026
C-B1-003,journal_article,CONFIRMADO-fuzzy,10.1002/psp4.70122,2025
C-B1-004,journal_article,DIVERGE_ANO:2026vs2025,10.1007/s43441-025-00893-w,2025
C-B1-005,journal_article,CONFIRMADO-fuzzy,10.1016/j.jaci.2023.12.031,2024
C-B1-006,journal_article,DIVERGE_ANO:2022vs2023,10.3389/fsysb.2022.1063308,2023
C-B1-007,trial_registry,N/A-URL/INSTITUCIONAL,https://clinicaltrials.gov/study/NCT06153966,2023
C-B1-008,web_log,N/A-URL/INSTITUCIONAL,https://www.cureffi.org/2026/03/17/ion717-trial-reopens/,2026
C-B1-009,science_news,N/A-URL/INSTITUCIONAL,https://www.asbmb.org/asbmb-today/science/071525/hope-for-prion-disease-rare,2025
C-B1-010,journal_article,DEDUPED,,2020
C-B1-011,journal_article,DEDUPED,,2018
C-B1-012,journal_article,CONFIRMADO-fuzzy,10.1172/jci.insight.131175,2019
C-B2-001,journal_article,CONFIRMADO-fuzzy,10.3389/fpubh.2024.1411489,2024
C-B2-002,journal_article,CONFIRMADO-exato,10.1038/s41598-020-72519-0,2020
C-B2-003,web_dashboard,N/A-URL/INSTITUCIONAL,https://health-infobase.canada.ca/diseases/cjd/dashboard.html,N/A
C-B2-004,web_institutional,N/A-URL/INSTITUCIONAL,https://www.cdc.gov/creutzfeldt-jakob/about/index.html,N/A
C-B2-005,fact_sheet,N/A-URL/INSTITUCIONAL,https://cjdfoundation.org/shared-files/5696/?CJD-FACT-SHEET-2021.pdf,2021
C-B2-006,science_news,N/A-URL/INSTITUCIONAL,https://neurologytoday.aan.com/doi/10.1097/01.NT.0001006340.74111.83,N/A
C-B2-007,journal_article,CONFIRMADO-exato,PMID:38500676,2024
C-B2-008,press_release,N/A-URL/INSTITUCIONAL,https://www.broadinstitute.org/news/clinical-trial-prion-disease-drug-candidate-begins-enrolling-participants,N/A
